Datalake,Datalake Manufacturer,Loki,Zabbix,Category (Loki),Name (Loki),Url (Loki),Ip (Loki),Port (Loki),Site (Loki),Manufacturer (Loki)
10.34.2.104,Veeam,+,DC13-VEEMCONSULE-Agent,Platforms,"	Equinix IL2-Veeam-DC13",https://dc13-veemconsule.blt.vc,"	10.34.2.104",3389,DC13,Veeam
"	10.34.17.20",VmWare,+,bulutistan-dc13-vc2,Platforms,"	Equinix IL2-Vmware-IST-Equinix_vc2","	https://vc2dc13.blt.vc","	10.34.17.20",443,DC13,Vmware
"	10.34.2.10",VmWare,+,bulutistan-dc13-vc1,Platforms,"	Equinix IL2-Vmware-IST-Equinix_vc1","	https://vc1dc13.blt.vc","	10.34.2.10",443,DC13,Vmware
10.34.1.230,VmWare,+,bulutistan-dc13-vc3,Platforms,"	Equinix IL2-Vmware-IST-Equinix_vc3","	https://vc3dc13.blt.vc",10.34.1.230,443,DC13,Vmware
10.132.2.184,VmWare,+,bulutistan-dc13-vc4,Platforms,"	Equinix IL2-Vmware-IST-Equinix_vc4","	https://vc4dc13.blt.vc",10.132.2.184,443,DC13,Vmware
10.132.2.237,VmWare,+,bulutistan-dc13-vc5,Platforms,"	Equinix IL2-Vmware-IST-Equinix_vc5",-,10.132.2.237,443,DC13,Vmware
10.132.1.42,IBM-Virtualize,-,-,-,-,-,-,-,-,-
10.34.2.110,IBM-HMC,+,-,Platforms,HMC_DC13,"	https://vhmcdc13.blt.vc:12443",10.34.2.110,12443,DC13,IBM HMC
10.34.1.241,Nutanix,+,DC13-G11-CLS,Platforms,"	Equinix IL2-Nutanix-DC13-G11","	https://ntnx-dc13g11.blt.vc",10.34.1.241,9440,DC13-G11,Nutanix
10.132.1.70,Nutanix,+,DC13-G12-CLS,Platforms,Equinix IL2-Nutanix-DC13-G12,"	https://ntnx-dc13g12.blt.vc",10.132.1.70,9440,"	DC13-G12",Nutanix
