Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
TL Fiyat Listesi;Hyperconverged Mimari Veeam Replication vCpu;vCPU;73.39
TL Fiyat Listesi;Zerto Replikasyon Yönetim Hizmeti;Adet;924.5
USD Fiyat Listesi;Veeam Backup & Replication Standard Lisansı;per VM;4.95
USD Fiyat Listesi;CSP - Exchange Online (Plan 1);per User;4.55
USD Fiyat Listesi;CSP - Exchange Online (Plan 2);per User;9.1
USD Fiyat Listesi;CSP - Exchange Online Kiosk;per User;2.28
USD Fiyat Listesi;SPLA - MS Project Professional Lisans(Project Professional ALng LSA SAL w/1 Project Server SAL);Adet;38.56
USD Fiyat Listesi;SPLA - Microsoft Project Standard Lisans (Project Standard ALng LSA SAL);Adet;22.95
USD Fiyat Listesi;SPLA - MS SQL Server Enterprise Edition 2 Core Lisans (SQL Server Enterprise Core ALng LSA 2L);Adet;698.5
USD Fiyat Listesi;SPLA - MS SQL Server Standart Edition 2 Core Lisans (SQL Server Standard Core ALng LSA 2L);Adet;185.52
USD Fiyat Listesi;SPLA - MS SQL Server Web Edition 2 Core Lisans (SQL Server Web ALng LSA 2L Core);Adet;11.6
USD Fiyat Listesi;SPLA - MS Windows Server Datacenter Editon 2 Core Lisans (Win Server DC Core ALng LSA 2L);Adet;43.37
USD Fiyat Listesi;SPLA - MS Windows Server Standard Editon 2 Core Lisans (Win Server Standard Core ALng LSA 2L);Adet;6.24
USD Fiyat Listesi;SPLA - RDP Kullanıcı Lisans - RDS User CAL (Win Remote Desktop Services SAL ALng LSA SAL);Adet;8.2
USD Fiyat Listesi;SPLA -Exchange Enterprise SAL (Exchange Enterprise SAL ALng LSA SAL);Adet;4.35
USD Fiyat Listesi;SPLA -Exchange Standard SAL (Exchange Standard SAL ALng LSA SAL);Adet;2.69
USD Fiyat Listesi;CSP - Microsoft 365 Apps for Business;per User;9.44
USD Fiyat Listesi;CSP - Microsoft 365 Apps for Enterprise;per User;13.65
USD Fiyat Listesi;CSP - Microsoft 365 Business Basic;per User;6.82
USD Fiyat Listesi;CSP-Microsoft 365 Business Premium;per User;25.01
USD Fiyat Listesi;CSP - Microsoft 365 Business Standard;per User;14.21
USD Fiyat Listesi;CSP - Microsoft 365 E3;per User;31.21
USD Fiyat Listesi;CSP - Microsoft 365 E5;per User;55.1
USD Fiyat Listesi;CSP - Microsoft 365 F3;per User;9.1
USD Fiyat Listesi;CSP - Microsoft Defender for Office 365 (Plan 1);per User;2.28
USD Fiyat Listesi;CSP - Microsoft Teams Essentials;per User;4.55
USD Fiyat Listesi;CSP - Microsoft Visio Plan 1;per User;5.68
USD Fiyat Listesi;Public Cloud - Accelerated_GLs48s_v6;Adet;9001.0
TL Fiyat Listesi;Public Cloud - Accelerated_GLs48s_v6;Adet;402781.25
Euro Fiyat Listesi;Public Cloud - Accelerated_GLs48s_v6;Adet;7638.59
USD Fiyat Listesi;Public Cloud - Accelerated_GLs8Ds_v4;Adet;1750.0
TL Fiyat Listesi;Public Cloud - Accelerated_GLs8Ds_v4;Adet;78309.88
Euro Fiyat Listesi;Public Cloud - Accelerated_GLs8Ds_v4;Adet;1485.12
USD Fiyat Listesi;Public Cloud - Accelerated_GLs16Ds_v4;Adet;3500.0
Euro Fiyat Listesi;Public Cloud - Accelerated_GLs16Ds_v4;Adet;2970.23
TL Fiyat Listesi;Public Cloud - Accelerated_GLs16Ds_v4;Adet;156619.75
USD Fiyat Listesi;Exchange Yönetim Hizmeti;Adet;110.0
TL Fiyat Listesi;Exchange Yönetim Hizmeti;Adet;4922.34
Euro Fiyat Listesi;Exchange Yönetim Hizmeti;Adet;93.35
TL Fiyat Listesi;Klasik Mimari Intel Disk - SSD;GB;3.58
USD Fiyat Listesi;Klasik Mimari Intel Disk - SSD;GB;0.08
Euro Fiyat Listesi;Klasik Mimari Intel Disk - SSD;GB;0.07
TL Fiyat Listesi;Klasik Mimari Intel Disk - SSD -DR;GB;3.58
Euro Fiyat Listesi;Klasik Mimari Intel Disk - SSD -DR;GB;0.07
USD Fiyat Listesi;Klasik Mimari Intel Disk - SSD -DR;GB;0.08
TL Fiyat Listesi;Klasik Mimari İmaj Yedekleme (Veritas Netbackup);GB;1.79
USD Fiyat Listesi;Klasik Mimari İmaj Yedekleme (Veritas Netbackup);GB;0.04
Euro Fiyat Listesi;Klasik Mimari İmaj Yedekleme (Veritas Netbackup);GB;0.03
TL Fiyat Listesi;Klasik Mimari Zerto Replication Disk - SSD;GB;3.58
USD Fiyat Listesi;MS Windows Lisans;per VM;8.8
TL Fiyat Listesi;MS Windows Lisans;per VM;393.79
Euro Fiyat Listesi;MS Windows Lisans;per VM;7.47
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - ATP Lisans - Yönetim Dahil;Adet;9265.62
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - ATP Lisans - Yönetim Dahil;Adet;207.06
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - ATP Lisans - Yönetim Dahil;Adet;175.72
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - UTP Lisans - Yönetim Dahil;Adet;10174.02
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - UTP Lisans - Yönetim Dahil;Adet;227.36
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - UTP Lisans - Yönetim Dahil;Adet;192.95
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - FortiCare Lisans - Yönetim Dahil;Adet;22967.62
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - FortiCare Lisans - Yönetim Dahil;Adet;513.26
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - FortiCare Lisans - Yönetim Dahil;Adet;435.57
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - ATP Lisans - Yönetim Dahil;Adet;26665.63
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - ATP Lisans - Yönetim Dahil;Adet;595.9
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - ATP Lisans - Yönetim Dahil;Adet;505.7
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - UTP Lisans - Yönetim Dahil;Adet;30342.17
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - UTP Lisans - Yönetim Dahil;Adet;678.06
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM04 - UTP Lisans - Yönetim Dahil;Adet;575.43
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - FortiCare Lisans - Yönetim Dahil;Adet;43464.67
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - FortiCare Lisans - Yönetim Dahil;Adet;971.31
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - FortiCare Lisans - Yönetim Dahil;Adet;824.29
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - ATP Lisans - Yönetim Dahil;Adet;50987.78
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - ATP Lisans - Yönetim Dahil;Adet;1139.43
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - ATP Lisans - Yönetim Dahil;Adet;966.96
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - UTP Lisans - Yönetim Dahil;Adet;58510.45
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - UTP Lisans - Yönetim Dahil;Adet;1307.54
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance -  VM08 - UTP Lisans - Yönetim Dahil;Adet;1109.63
TL Fiyat Listesi;Sophos Firewall Yönetim Hizmeti;Adet;7248.36
USD Fiyat Listesi;Sophos Firewall Yönetim Hizmeti;Adet;161.98
Euro Fiyat Listesi;Sophos Firewall Yönetim Hizmeti;Adet;137.46
TL Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (U);U;3553.48
TL Fiyat Listesi;Veri Merkezi Enerji Birim Bedeli;kW;13393.67
TL Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Kabinet);Adet;149245.2
TL Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Dışı Kabinet);Adet;184779.98
USD Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Dışı Kabinet);Adet;4129.3
Euro Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Dışı Kabinet);Adet;3504.28
USD Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Kabinet);Adet;3335.2
Euro Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (Standart Kabinet);Adet;2830.38
USD Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (U);U;79.41
Euro Fiyat Listesi;Veri Merkezi Barındırma Hizmeti (U);U;67.39
USD Fiyat Listesi;Veri Merkezi Enerji Birim Bedeli;kW;299.31
Euro Fiyat Listesi;Veri Merkezi Enerji Birim Bedeli;kW;254.01
