Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;Hyperconverged Mimari Intel RAM;GB;3.44
USD Fiyat Listesi;Hyperconverged Mimari Intel RAM - DR;GB;1.15
USD Fiyat Listesi;IBM ICOS S3 Ankara;TB;16.38
USD Fiyat Listesi;IBM ICOS S3 İstanbul;TB;16.38
USD Fiyat Listesi;Klasik Mimari Intel CPU;vCPU;6.47
USD Fiyat Listesi;Klasik Mimari Intel CPU - DR;vCPU;1.98
USD Fiyat Listesi;Klasik Mimari Intel Disk - NVMe;GB;0.16
USD Fiyat Listesi;Klasik Mimari Intel Disk - NVMe - DR;GB;0.16
USD Fiyat Listesi;Klasik Mimari Intel RAM;GB;1.89
USD Fiyat Listesi;Klasik Mimari Intel RAM - DR;GB;0.58
USD Fiyat Listesi;Data Switch Port ve SFP Hizmeti;Adet;85.32
USD Fiyat Listesi;Management Switch Port Hizmeti;Adet;16.92
USD Fiyat Listesi;Plesk Web Admin Edition VPS (10 Domains);Adet;19.54
USD Fiyat Listesi;Plesk Web Host Edition VPS (Unlimited Domains);Adet;72.44
USD Fiyat Listesi;Plesk Web Pro Edition VPS (30 Domains);Adet;34.49
USD Fiyat Listesi;Premium Monitoring Hizmeti;per VM;20.43
USD Fiyat Listesi;Public IPv4 Blok /24 - 256 Adet IP;Adet;1218.16
USD Fiyat Listesi;Public IPv4 Blok /25 - 128 Adet IP;Adet;609.08
USD Fiyat Listesi;Public IPv4 Blok /26 - 64 Adet IP;Adet;304.54
USD Fiyat Listesi;Public IPv4 Blok /27 - 32 Adet IP;Adet;152.27
USD Fiyat Listesi;Public IPv4 Blok /28 - 16 Adet IP;Adet;76.14
USD Fiyat Listesi;Public IPv4 Blok /29 - 8 Adet IP;Adet;38.07
USD Fiyat Listesi;Public IPv4 Blok /30 - 4 Adet IP;Adet;19.03
USD Fiyat Listesi;Public IPv4 Blok /31 - 2 Adet IP;Adet;9.52
USD Fiyat Listesi;Public IPv4 Blok /32 - 1 Adet IP;Adet;4.76
USD Fiyat Listesi;Public IPv6 Blok  /48;Adet;19.03
USD Fiyat Listesi;Public IPv6 Blok /56;Adet;9.52
USD Fiyat Listesi;Public IPv6 Blok /64;Adet;4.76
USD Fiyat Listesi;Public IPv6 Blok /120;Adet;2.38
